|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|      82 |          82 |       02:15:17 |      100.00% |       0.0026 |          0.0010 |
|      83 |          83 |       02:16:48 |      100.00% |       0.0025 |          0.0010 |
|      84 |          84 |       02:18:39 |      100.00% |       0.0024 |          0.0010 |
|      85 |          85 |       02:20:15 |      100.00% |       0.0023 |          0.0010 |
|      86 |          86 |       02:21:52 |      100.00% |       0.0022 |          0.0010 |
|      87 |          87 |       02:23:26 |      100.00% |       0.0021 |          0.0010 |
|      88 |          88 |       02:25:02 |      100.00% |       0.0021 |          0.0010 |
|      89 |          89 |       02:26:37 |      100.00% |       0.0020 |          0.0010 |
|      90 |          90 |       02:28:11 |      100.00% |       0.0019 |          0.0010 |
|      91 |          91 |       02:29:50 |      100.00% |       0.0019 |          0.0010 |
|      92 |          92 |       02:31:34 |      100.00% |       0.0018 |          0.0010 |
|      93 |          93 |       02:33:15 |      100.00% |       0.0018 |          0.0010 |
|      94 |          94 |       02:34:58 |      100.00% |       0.0017 |          0.0010 |
|      95 |          95 |       02:36:38 |      100.00% |       0.0017 |          0.0010 |
|      96 |          96 |       02:38:21 |      100.00% |       0.0016 |          0.0010 |
|      97 |          97 |       02:40:01 |      100.00% |       0.0016 |          0.0010 |
|      98 |          98 |       02:41:41 |      100.00% |       0.0016 |          0.0010 |
|      99 |          99 |       02:43:19 |      100.00% |       0.0015 |          0.0010 |
|     100 |         100 |       02:45:03 |      100.00% |       0.0015 |          0.0010 |
|     101 |         101 |       02:46:45 |      100.00% |       0.0015 |          0.0010 |
|     102 |         102 |       02:48:25 |      100.00% |       0.0014 |          0.0010 |
|     103 |         103 |       02:49:59 |      100.00% |       0.0014 |          0.0010 |
|     104 |         104 |       02:51:39 |      100.00% |       0.0014 |          0.0010 |
|     105 |         105 |       02:53:16 |      100.00% |       0.0014 |          0.0010 |
|     106 |         106 |       02:54:55 |      100.00% |       0.0013 |          0.0010 |
|     107 |         107 |       02:56:36 |      100.00% |       0.0013 |          0.0010 |
|     108 |         108 |       02:58:20 |      100.00% |       0.0013 |          0.0010 |
|     109 |         109 |       02:59:59 |      100.00% |       0.0013 |          0.0010 |
|     110 |         110 |       03:01:42 |      100.00% |       0.0013 |          0.0010 |
|     111 |         111 |       03:03:29 |      100.00% |       0.0012 |          0.0010 |
|     112 |         112 |       03:05:12 |      100.00% |       0.0012 |          0.0010 |
|     113 |         113 |       03:06:56 |      100.00% |       0.0012 |          0.0010 |
|     114 |         114 |       03:08:53 |      100.00% |       0.0012 |          0.0010 |
|     115 |         115 |       03:10:34 |      100.00% |       0.0012 |          0.0010 |
|     116 |         116 |       03:12:13 |      100.00% |       0.0012 |          0.0010 |
|     117 |         117 |       03:13:56 |      100.00% |       0.0012 |          0.0010 |
|     118 |         118 |       03:15:37 |      100.00% |       0.0011 |          0.0010 |
|     119 |         119 |       03:17:37 |      100.00% |       0.0011 |          0.0010 |
|     120 |         120 |       03:19:18 |      100.00% |       0.0011 |          0.0010 |
|     121 |         121 |       03:21:02 |      100.00% |       0.0011 |          0.0010 |
|     122 |         122 |       03:22:46 |      100.00% |       0.0011 |          0.0010 |
|     123 |         123 |       03:24:26 |      100.00% |       0.0011 |          0.0010 |
|     124 |         124 |       03:26:14 |      100.00% |       0.0011 |          0.0010 |
|     125 |         125 |       03:28:11 |      100.00% |       0.0011 |          0.0010 |
|     126 |         126 |       03:29:54 |      100.00% |       0.0010 |          0.0010 |
|     127 |         127 |       03:31:39 |      100.00% |       0.0010 |          0.0010 |
|     128 |         128 |       03:33:21 |      100.00% |       0.0010 |          0.0010 |
|     129 |         129 |       03:35:19 |      100.00% |       0.0010 |          0.0010 |
|     130 |         130 |       03:37:04 |      100.00% |       0.0010 |          0.0010 |
|     131 |         131 |       03:38:48 |      100.00% |       0.0010 |          0.0010 |
|     132 |         132 |       03:40:29 |      100.00% |       0.0010 |          0.0010 |
|     133 |         133 |       03:42:13 |      100.00% |       0.0010 |          0.0010 |
|     134 |         134 |       03:43:53 |      100.00% |       0.0010 |          0.0010 |
|     135 |         135 |       03:45:29 |      100.00% |       0.0010 |          0.0010 |
|     136 |         136 |       03:47:12 |      100.00% |       0.0010 |          0.0010 |
|     137 |         137 |       03:48:55 |      100.00% |       0.0009 |          0.0010 |
|     138 |         138 |       03:50:32 |      100.00% |       0.0009 |          0.0010 |
|     139 |         139 |       03:52:12 |      100.00% |       0.0009 |          0.0010 |
|     140 |         140 |       03:53:52 |      100.00% |       0.0009 |          0.0010 |
|     141 |         141 |       03:55:32 |      100.00% |       0.0009 |          0.0010 |
|     142 |         142 |       03:57:11 |      100.00% |       0.0009 |          0.0010 |
|     143 |         143 |       03:59:08 |      100.00% |       0.0009 |          0.0010 |
|     144 |         144 |       04:00:49 |      100.00% |       0.0009 |          0.0010 |
|     145 |         145 |       04:02:37 |      100.00% |       0.0009 |          0.0010 |
|     146 |         146 |       04:04:27 |      100.00% |       0.0009 |          0.0010 |
|     147 |         147 |       04:06:08 |      100.00% |       0.0009 |          0.0010 |
|     148 |         148 |       04:07:58 |      100.00% |       0.0009 |          0.0010 |
|     149 |         149 |       04:09:42 |      100.00% |       0.0009 |          0.0010 |
|     150 |         150 |       04:11:30 |      100.00% |       0.0009 |          0.0010 |
