|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|      82 |          82 |       02:27:47 |      100.00% |       0.0042 |          0.0010 |
|      83 |          83 |       02:29:25 |      100.00% |       0.0039 |          0.0010 |
|      84 |          84 |       02:31:17 |      100.00% |       0.0037 |          0.0010 |
|      85 |          85 |       02:32:50 |      100.00% |       0.0035 |          0.0010 |
|      86 |          86 |       02:34:35 |      100.00% |       0.0034 |          0.0010 |
|      87 |          87 |       02:36:18 |      100.00% |       0.0032 |          0.0010 |
|      88 |          88 |       02:37:54 |      100.00% |       0.0031 |          0.0010 |
|      89 |          89 |       02:39:32 |      100.00% |       0.0029 |          0.0010 |
|      90 |          90 |       02:41:32 |      100.00% |       0.0028 |          0.0010 |
|      91 |          91 |       02:43:18 |      100.00% |       0.0027 |          0.0010 |
|      92 |          92 |       02:44:59 |      100.00% |       0.0026 |          0.0010 |
|      93 |          93 |       02:46:36 |      100.00% |       0.0025 |          0.0010 |
|      94 |          94 |       02:48:34 |      100.00% |       0.0025 |          0.0010 |
|      95 |          95 |       02:50:13 |      100.00% |       0.0024 |          0.0010 |
|      96 |          96 |       02:52:09 |      100.00% |       0.0023 |          0.0010 |
|      97 |          97 |       02:53:47 |      100.00% |       0.0022 |          0.0010 |
|      98 |          98 |       02:55:27 |      100.00% |       0.0022 |          0.0010 |
|      99 |          99 |       02:57:22 |      100.00% |       0.0021 |          0.0010 |
|     100 |         100 |       02:59:05 |      100.00% |       0.0021 |          0.0010 |
|     101 |         101 |       03:00:43 |      100.00% |       0.0020 |          0.0010 |
|     102 |         102 |       03:02:28 |      100.00% |       0.0020 |          0.0010 |
|     103 |         103 |       03:04:09 |      100.00% |       0.0019 |          0.0010 |
|     104 |         104 |       03:05:48 |      100.00% |       0.0019 |          0.0010 |
|     105 |         105 |       03:07:30 |      100.00% |       0.0018 |          0.0010 |
|     106 |         106 |       03:09:12 |      100.00% |       0.0018 |          0.0010 |
|     107 |         107 |       03:10:57 |      100.00% |       0.0018 |          0.0010 |
|     108 |         108 |       03:12:45 |      100.00% |       0.0017 |          0.0010 |
|     109 |         109 |       03:14:23 |      100.00% |       0.0017 |          0.0010 |
|     110 |         110 |       03:16:10 |      100.00% |       0.0017 |          0.0010 |
|     111 |         111 |       03:17:55 |      100.00% |       0.0016 |          0.0010 |
|     112 |         112 |       03:19:35 |      100.00% |       0.0016 |          0.0010 |
|     113 |         113 |       03:21:18 |      100.00% |       0.0016 |          0.0010 |
|     114 |         114 |       03:23:03 |      100.00% |       0.0016 |          0.0010 |
|     115 |         115 |       03:24:34 |      100.00% |       0.0015 |          0.0010 |
|     116 |         116 |       03:26:22 |      100.00% |       0.0015 |          0.0010 |
|     117 |         117 |       03:28:06 |      100.00% |       0.0015 |          0.0010 |
|     118 |         118 |       03:29:45 |      100.00% |       0.0015 |          0.0010 |
|     119 |         119 |       03:31:35 |      100.00% |       0.0015 |          0.0010 |
|     120 |         120 |       03:33:17 |      100.00% |       0.0014 |          0.0010 |
|     121 |         121 |       03:35:02 |      100.00% |       0.0014 |          0.0010 |
|     122 |         122 |       03:36:47 |      100.00% |       0.0014 |          0.0010 |
|     123 |         123 |       03:38:35 |      100.00% |       0.0014 |          0.0010 |
|     124 |         124 |       03:40:13 |      100.00% |       0.0014 |          0.0010 |
|     125 |         125 |       03:41:48 |      100.00% |       0.0014 |          0.0010 |
|     126 |         126 |       03:43:45 |      100.00% |       0.0013 |          0.0010 |
|     127 |         127 |       03:45:24 |      100.00% |       0.0013 |          0.0010 |
|     128 |         128 |       03:47:01 |      100.00% |       0.0013 |          0.0010 |
|     129 |         129 |       03:48:33 |      100.00% |       0.0013 |          0.0010 |
|     130 |         130 |       03:50:04 |      100.00% |       0.0013 |          0.0010 |
|     131 |         131 |       03:51:39 |      100.00% |       0.0013 |          0.0010 |
|     132 |         132 |       03:53:37 |      100.00% |       0.0013 |          0.0010 |
|     133 |         133 |       03:55:16 |      100.00% |       0.0012 |          0.0010 |
|     134 |         134 |       03:56:52 |      100.00% |       0.0012 |          0.0010 |
|     135 |         135 |       03:58:28 |      100.00% |       0.0012 |          0.0010 |
|     136 |         136 |       04:00:02 |      100.00% |       0.0012 |          0.0010 |
|     137 |         137 |       04:01:55 |      100.00% |       0.0012 |          0.0010 |
|     138 |         138 |       04:03:31 |      100.00% |       0.0012 |          0.0010 |
|     139 |         139 |       04:05:07 |      100.00% |       0.0012 |          0.0010 |
|     140 |         140 |       04:06:46 |      100.00% |       0.0012 |          0.0010 |
|     141 |         141 |       04:08:14 |      100.00% |       0.0012 |          0.0010 |
|     142 |         142 |       04:09:53 |      100.00% |       0.0012 |          0.0010 |
|     143 |         143 |       04:11:36 |      100.00% |       0.0011 |          0.0010 |
|     144 |         144 |       04:13:11 |      100.00% |       0.0011 |          0.0010 |
|     145 |         145 |       04:14:52 |      100.00% |       0.0011 |          0.0010 |
|     146 |         146 |       04:16:30 |      100.00% |       0.0011 |          0.0010 |
|     147 |         147 |       04:18:14 |      100.00% |       0.0011 |          0.0010 |
|     148 |         148 |       04:19:58 |      100.00% |       0.0011 |          0.0010 |
|     149 |         149 |       04:21:40 |      100.00% |       0.0011 |          0.0010 |
|     150 |         150 |       04:23:23 |      100.00% |       0.0011 |          0.0010 |
