

|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|      82 |          82 |       00:25:16 |       96.09% |       0.1244 |          0.0010 |
|      83 |          83 |       00:25:34 |       89.06% |       0.2996 |          0.0010 |
|      84 |          84 |       00:25:53 |       93.75% |       0.1598 |          0.0010 |
|      85 |          85 |       00:26:12 |       89.84% |       0.2344 |          0.0010 |
|      86 |          86 |       00:26:31 |       91.41% |       0.2503 |          0.0010 |
|      87 |          87 |       00:26:49 |       90.62% |       0.3185 |          0.0010 |
|      88 |          88 |       00:27:06 |       93.75% |       0.1434 |          0.0010 |
|      89 |          89 |       00:27:23 |       86.72% |       0.3317 |          0.0010 |
|      90 |          90 |       00:27:40 |       92.19% |       0.1817 |          0.0010 |
|      91 |          91 |       00:27:57 |       88.28% |       0.3521 |          0.0010 |
|      92 |          92 |       00:28:15 |       92.19% |       0.2169 |          0.0010 |
|      93 |          93 |       00:28:32 |       96.88% |       0.1290 |          0.0010 |
|      94 |          94 |       00:28:49 |       88.28% |       0.3172 |          0.0010 |
|      95 |          95 |       00:29:06 |       93.75% |       0.1755 |          0.0010 |
|      96 |          96 |       00:29:23 |       89.06% |       0.3568 |          0.0010 |
|      97 |          97 |       00:29:41 |       90.62% |       0.3067 |          0.0010 |
|      98 |          98 |       00:29:58 |       91.41% |       0.2668 |          0.0010 |
|      99 |          99 |       00:30:15 |       94.53% |       0.1457 |          0.0010 |
|     100 |         100 |       00:30:33 |       91.41% |       0.2445 |          0.0010 |
|     101 |         101 |       00:30:50 |       93.75% |       0.1819 |          0.0010 |
|     102 |         102 |       00:31:07 |       97.66% |       0.1166 |          0.0010 |
|     103 |         103 |       00:31:25 |       94.53% |       0.1465 |          0.0010 |
|     104 |         104 |       00:31:42 |       94.53% |       0.1846 |          0.0010 |
|     105 |         105 |       00:31:59 |       94.53% |       0.1326 |          0.0010 |
|     106 |         106 |       00:32:16 |       96.88% |       0.1251 |          0.0010 |
|     107 |         107 |       00:32:33 |       97.66% |       0.1027 |          0.0010 |
|     108 |         108 |       00:32:50 |       97.66% |       0.0985 |          0.0010 |
|     109 |         109 |       00:33:08 |       94.53% |       0.1347 |          0.0010 |
|     110 |         110 |       00:33:26 |       97.66% |       0.0817 |          0.0010 |
|     111 |         111 |       00:33:43 |       94.53% |       0.1236 |          0.0010 |
